('Automated Identification and Location of Three Dimensional Atmospheric Frontal Systems', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_1')
('Memory-Based Monte Carlo Integration for Solving Partial Differential Equations Using Neural Networks', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_51')
('Fast Solver for Advection Dominated Diffusion Using Residual Minimization and Neural Networks', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_52')
('Long-Term Prediction of Cloud Resource Usage in High-Performance Computing', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_53')
('Least-Squares Space-Time Formulation for Advection-Diffusion Problem with Efficient Adaptive Solver Based on Matrix Compression', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_54')
('Towards Understanding of Deep Reinforcement Learning Agents Used in Cloud Resource Management', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_55')
('ML-Based Proactive Control of Industrial Processes', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_56')
('Parallel Algorithm for Concurrent Integration of Three-Dimensional B-Spline Functions', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_57')
('Resting State Brain Connectivity Analysis from EEG and FNIRS Signals', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_58')
('Anomaly Detection of Motion Capture Data Based on the Autoencoder Approach', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_59')
('Influence of the Capillaries Bed in Hyperthermia for Cancer Treatment', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_60')
('Phase Correction and Noise-to-Noise Denoising of Diffusion Magnetic Resonance Images Using Neural Networks', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_61')
('CNN-Based Quantification of Blood Vessels Lumen in 3D Images', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_62')
('Tensor Train Subspace Analysis for Classification of Hand Gestures with Surface EMG Signals', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_63')
('A New Statistical Approach to Image Reconstruction with Rebinning for the X-Ray CT Scanners with Flying Focal Spot Tube', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_64')
('Investigating the Sentiment in Italian Long-COVID Narrations', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_65')
('Toward the Human Nanoscale Connectome: Neuronal Morphology Format, Modeling, and Storage Requirement Estimation', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_66')
('Replacing the FitzHugh-Nagumo Electrophysiology Model by Physics-Informed Neural Networks', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_67')
('Sensitivity Analysis of a Two-Compartmental Differential Equation Mathematical Model of MS Using Parallel Programming', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_68')
('Hierarchical Relative Expression Analysis in Multi-omics Data Classification', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_69')
